match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Zimbabwe Vs West Indies,West Indies,Kyle Mayers,1,0,17,0,17.00,3,3,0,1,0,T20I # 1834
Zimbabwe Vs West Indies,West Indies,Akeal Hosein,4,0,25,1,6.25,12,1,1,1,1,T20I # 1834
Zimbabwe Vs West Indies,West Indies,Alzarri Joseph,4,0,16,4,4.00,16,1,1,0,0,T20I # 1834
Zimbabwe Vs West Indies,West Indies,Obed McCoy,3,0,19,1,6.33,9,3,0,0,0,T20I # 1834
Zimbabwe Vs West Indies,West Indies,Jason Holder,3.2,0,12,3,3.60,12,1,0,0,0,T20I # 1834
Zimbabwe Vs West Indies,West Indies,Odean Smith,3,0,31,1,10.33,8,4,1,1,1,T20I # 1834
Netherlands Vs Sri Lanka,Netherlands,Fred Klaassen,4,0,34,1,8.50,9,1,2,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,Tim Pringle,3,0,22,0,7.33,8,0,2,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,Roelof van der Merwe,3,0,16,0,5.33,10,2,0,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,Paul van Meekeren,4,0,25,2,6.25,11,3,0,1,0,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,Bas de Leede,3,0,31,2,10.33,5,2,2,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Netherlands,Timm van der Gugten,3,0,31,1,10.33,3,2,1,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,Dhananjaya de Silva,1,0,5,0,5.00,1,0,0,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,Lahiru Kumara,4,0,28,1,7.00,14,2,1,1,0,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,Binura Fernando,4,0,33,1,8.25,11,4,1,1,0,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,4,0,32,2,8.00,12,1,2,2,1,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,0,28,3,7.00,11,3,0,0,0,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,2,0,11,0,5.50,6,1,0,1,0,T20I # 1835
Netherlands Vs Sri Lanka,Sri Lanka,Dasun Shanaka,1,0,7,0,7.00,3,1,0,0,0,T20I # 1835
Namibia Vs U.A.E.,Namibia,Ruben Trumpelmann,4,0,22,0,5.50,10,0,0,3,0,T20I # 1836
Namibia Vs U.A.E.,Namibia,David Wiese,4,0,27,1,6.75,12,2,1,1,0,T20I # 1836
Namibia Vs U.A.E.,Namibia,Bernard Scholtz,4,0,22,1,5.50,11,1,1,0,0,T20I # 1836
Namibia Vs U.A.E.,Namibia,JJ Smit,4,0,39,0,9.75,11,2,3,0,0,T20I # 1836
Namibia Vs U.A.E.,Namibia,Jan Frylinck,3,0,30,0,10.00,3,2,1,1,0,T20I # 1836
Namibia Vs U.A.E.,Namibia,Ben Shikongo,1,0,8,1,8.00,1,1,0,0,0,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,Basil Hameed,3,0,17,2,5.66,10,2,0,0,0,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,Junaid Siddique,4,0,35,1,8.75,8,3,1,2,0,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,Zahoor Khan,4,0,20,2,5.00,15,1,0,2,2,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,Ahmed Raza,1,0,9,0,9.00,1,1,0,0,0,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,Karthik Meiyappan,4,0,34,1,8.50,8,2,2,0,0,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,Aayan Afzal Khan,2,0,7,0,3.50,5,0,0,0,0,T20I # 1836
Namibia Vs U.A.E.,U.A.E.,Muhammad Waseem,2,0,16,1,8.00,3,0,1,0,0,T20I # 1836
Ireland Vs West Indies,Ireland,Josh Little,4,0,31,0,7.75,8,1,2,1,0,T20I # 1837
Ireland Vs West Indies,Ireland,Mark Adair,4,0,26,0,6.50,12,1,1,4,0,T20I # 1837
Ireland Vs West Indies,Ireland,Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0,T20I # 1837
Ireland Vs West Indies,Ireland,Curtis Campher,2,0,28,0,14.00,2,4,1,0,0,T20I # 1837
Ireland Vs West Indies,Ireland,Simi Singh,2,0,11,1,5.50,4,1,0,0,0,T20I # 1837
Ireland Vs West Indies,Ireland,Gareth Delany,4,0,16,3,4.00,12,1,0,1,0,T20I # 1837
Ireland Vs West Indies,West Indies,Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0,T20I # 1837
Ireland Vs West Indies,West Indies,Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0,T20I # 1837
Ireland Vs West Indies,West Indies,Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0,T20I # 1837
Ireland Vs West Indies,West Indies,Odean Smith,2,0,23,0,11.50,4,3,1,0,1,T20I # 1837
Ireland Vs West Indies,West Indies,Jason Holder,4,0,23,0,5.75,7,1,0,0,0,T20I # 1837
