match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,match_id
Ireland Vs Zimbabwe,Zimbabwe,Blessing Muzarabani,4,0,23,3,5.75,14,0,2,0,1,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,Luke Jongwe,2,0,24,0,12.00,1,4,0,0,0,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,Sean Williams,3,0,20,1,6.66,3,0,0,0,0,T20I # 1828
Ireland Vs Zimbabwe,Zimbabwe,Sikandar Raza,3,0,22,1,7.33,8,1,1,1,0,T20I # 1828
Netherlands Vs Namibia,Netherlands,Fred Klaassen,3,0,15,0,5.00,11,1,0,0,0,T20I # 1830
Netherlands Vs Namibia,Netherlands,Tim Pringle,3,0,15,1,5.00,8,0,0,0,0,T20I # 1830
Netherlands Vs Namibia,Netherlands,Bas de Leede,3,0,18,2,6.00,6,1,0,0,0,T20I # 1830
Netherlands Vs Namibia,Netherlands,Colin Ackermann,3,0,17,1,5.66,8,2,0,0,0,T20I # 1830
Netherlands Vs Namibia,Netherlands,Paul van Meekeren,4,0,18,1,4.50,11,1,0,1,0,T20I # 1830
Netherlands Vs Namibia,Netherlands,Timm van der Gugten,3,0,29,0,9.66,4,1,1,2,0,T20I # 1830
Netherlands Vs Namibia,Netherlands,Roelof van der Merwe,1,0,6,1,6.00,1,0,0,1,0,T20I # 1830
Netherlands Vs Namibia,Namibia,Bernard Scholtz,4,0,21,1,5.25,10,0,1,0,0,T20I # 1830
Netherlands Vs Namibia,Namibia,David Wiese,2.3,0,22,0,8.80,4,3,0,0,0,T20I # 1830
Netherlands Vs Namibia,Namibia,Gerhard Erasmus,3,0,13,0,4.33,8,0,0,1,0,T20I # 1830
Netherlands Vs Namibia,Namibia,Ben Shikongo,1,0,18,0,18.00,1,0,2,1,0,T20I # 1830
Netherlands Vs Namibia,Namibia,JJ Smit,4,0,24,2,6.00,9,2,0,0,0,T20I # 1830
Netherlands Vs Namibia,Namibia,Jan Frylinck,4,1,16,1,4.00,11,1,0,0,0,T20I # 1830
Netherlands Vs Namibia,Namibia,Jan Nicol Loftie-Eaton,1,0,8,0,8.00,2,1,0,0,1,T20I # 1830
U.A.E. Vs Sri Lanka,U.A.E.,Junaid Siddique,4,0,36,0,9.00,8,2,1,2,0,T20I # 1832
U.A.E. Vs Sri Lanka,U.A.E.,Kashif Daud,1,0,14,0,14.00,0,2,0,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,U.A.E.,Zahoor Khan,4,0,26,2,6.50,10,3,0,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,U.A.E.,Aayan Afzal Khan,3,0,16,1,5.33,7,1,0,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,U.A.E.,Aryan Lakra,3,0,24,1,8.00,5,3,0,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,U.A.E.,Karthik Meiyappan,4,0,19,3,4.75,12,0,1,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,U.A.E.,Basil Hameed,1,0,13,0,13.00,1,1,1,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,Sri Lanka,Pramod Madushan,3,0,14,1,4.66,12,2,0,1,0,T20I # 1832
U.A.E. Vs Sri Lanka,Sri Lanka,Maheesh Theekshana,3.1,0,15,2,4.73,10,2,0,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,Sri Lanka,Dushmantha Chameera,3.5,0,15,3,3.91,16,0,1,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,Sri Lanka,Chamika Karunaratne,2,0,14,0,7.00,5,2,0,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,Sri Lanka,Wanindu Hasaranga,4,1,8,3,2.00,17,0,0,0,0,T20I # 1832
U.A.E. Vs Sri Lanka,Sri Lanka,Dasun Shanaka,1.1,0,7,1,6.00,3,0,0,1,0,T20I # 1832
Ireland Vs Scotland,Ireland,Josh Little,4,0,30,1,7.50,10,2,1,1,0,T20I # 1833
Ireland Vs Scotland,Ireland,Mark Adair,4,0,23,1,5.75,12,2,0,2,0,T20I # 1833
Ireland Vs Scotland,Ireland,Barry McCarthy,4,0,59,0,14.75,4,6,3,1,1,T20I # 1833
Ireland Vs Scotland,Ireland,Gareth Delany,3,0,28,0,9.33,3,2,1,0,0,T20I # 1833
Ireland Vs Scotland,Ireland,Simi Singh,2,0,16,0,8.00,2,2,0,0,0,T20I # 1833
Ireland Vs Scotland,Ireland,Curtis Campher,2,0,9,2,4.50,7,1,0,0,0,T20I # 1833
Ireland Vs Scotland,Ireland,George Dockrell,1,0,9,0,9.00,1,1,0,0,0,T20I # 1833
Ireland Vs Scotland,Scotland,Mark Watt,4,0,39,1,9.75,10,2,1,2,0,T20I # 1833
Ireland Vs Scotland,Scotland,Brad Wheal,4,0,25,1,6.25,11,2,1,0,0,T20I # 1833
Ireland Vs Scotland,Scotland,Josh Davey,4,0,46,0,11.50,5,8,0,1,0,T20I # 1833
Ireland Vs Scotland,Scotland,Safyaan Sharif,3,0,32,1,10.66,3,4,0,1,0,T20I # 1833
Ireland Vs Scotland,Scotland,Chris Greaves,2,0,18,0,9.00,1,0,1,1,0,T20I # 1833
Ireland Vs Scotland,Scotland,Michael Leask,2,0,16,1,8.00,2,1,0,0,0,T20I # 1833
Zimbabwe Vs West Indies,Zimbabwe,Richard Ngarava,3,0,20,0,6.66,9,1,1,1,0,T20I # 1834
Zimbabwe Vs West Indies,Zimbabwe,Tendai Chatara,3,0,22,0,7.33,5,2,0,2,0,T20I # 1834
Zimbabwe Vs West Indies,Zimbabwe,Blessing Muzarabani,4,0,38,2,9.50,10,2,2,2,1,T20I # 1834
Zimbabwe Vs West Indies,Zimbabwe,Ryan Burl,3,0,27,0,9.00,5,3,1,0,0,T20I # 1834
Zimbabwe Vs West Indies,Zimbabwe,Sikandar Raza,4,0,19,3,4.75,7,0,0,0,0,T20I # 1834
Zimbabwe Vs West Indies,Zimbabwe,Sean Williams,3,0,17,1,5.66,7,1,0,0,1,T20I # 1834
